,smiles
94,S(C1=NN(C(N)=C1C(=O)N)C2=NC=CC=C2)C
95,IC=1C=2N(C=C(N2)C3=CC(Cl)=CC=C3)C(O)=NC1
97,C1(C(=C(C(C2=CC=CC=C12)=O)N3C(O)=CC=C3O)Cl)=O
98,S1C(C(=O)NC1=S)=CC=2C=C(OC)C(O)=CC2
99,S1C2=C(C(C3=CC(F)=CC=C3)=CN=C2)C=C1C(=O)N
100,IC1=NN(C=2N=CN=C(N)C21)C3CCC(O)CC3
101,C1CN(C=2C3=C(N=CN2)NC=C3)CCC1CN
102,N12C(=NC=3C1=CC=CC3)C(=C(C=C2NNCC)C)C#N
104,N=1C(C2=CC(=CC=C2)CCN)=C3C(=NC1)NC=N3
105,N1C2=C(N=CN=C2N=C1)C3=CC(CCN)=CC=C3
106,C=1(C=C2C(=CC1Cl)N(CC)C=3C(=C(ON3)O)C2=O)O
107,O=C1NC2=C(NC=3N=NC=CC31)C=CC=C2
108,S1C2=C(C(C=3C=CC=CC3)=CN=C2)C=C1C(=O)O
109,N1C2=C(N=CN=C2N=C1)C=3C=CC(CNC)=CC3
110,N1C=NC=2C(N=CN2)=C1C3=CC=C(CNC)C=C3
111,FC=1C(CNC2C(=NC=3C=CN=CC3)C(=O)C2=O)=CC=CC1
112,ClC=1C2=C(SC1)N=CN=C2NC3=CC(O)=CC=C3
114,FC=1C(C2=CN3C(=NN=C3N)C=C2)=CC(=CC1)C
115,N=1C(C2=CC=CC(=C2)CNC)=C3C(=NC1)NC=N3
116,N1C2=C(N=CN=C2N=C1)C3=CC(CNC)=CC=C3
118,N1=C2NC=CC2=CC(C3=CC=4NN=CC4C=C3)=C1
119,C1C(CCN(C1)C2=C3C(=NC=C2)NC=C3)N
120,CC1=NC=2C=C3C(=CC2N1C)N=CC(C4=CC=CS4)=N3
121,C12(CNCCC1)CCN(CC2)C3=NC=NC4=C3N=CN4
122,N1(CCC2(CC1)CCCNC2)C3=NC=NC=4N=CNC34
123,N=1C(C2=CC=C(C=C2)CCN)=C3C(=NC1)NC=N3
124,C=1(C=C2C(=CC1)N(C3=C(C(=NN3C)C)C2=O)OCCC)Cl
125,C1(/C(/CSC=C1CC=2C=CC=CN2)=C/C3=NC=CC=C3)=O
126,ClC=1C=C2C(N(OCC(C)C)C=3N(N=C(C3C2=O)C)C)=CC1
127,C1=NC=C(C)C2=C1C=CC=C2S(N3C(CNCCC3)C)(=O)=O
128,ClC=1C=2C(C3=CC=C(C=C3)C(=O)N)=CNC2N=CC1
129,O(C=1C=C(C=NC1)CCC2=CC=NC=C2)CC3N(CC3)C
130,IC1=NN(C2OC(C(O)C2O)CO)C=3N=CN=C(N)C31
131,O=C(N)C1=C2N=CC=CC2=CC(=C1)C3=CC(N)=CC=C3
132,C12=C(C(=O)CC(C1=O)=NC=3C=CC(=CC3)C)SC(=N2)C
133,ClC=1C=CC(C2=NN(C=C2C3=NC=NC=C3)CCOC)=CC1
134,S1C2=NNC(=C2C=C1C(=O)NC)C=3C(F)=CC=CC3
136,C=1C=C2NC(=O)C(=C(C2=CC1Cl)C=3C=CC=CC3)N
137,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C
138,O=C1C(NC(C2=CC=CC=C2)C)C(=NC=3C=CN=CC3)C1=O
139,C1(C2=C(C3=CC=CC=C3N2)N=O)=C(NC4=C1C=CC=C4)O
140,O1N=C(C=C1C=2C=C3C(NN=C3N)=CC2)CC(C)C
141,N1=C2C(=C(CC3=CC=C(C=C3)N(C)C)C1=O)C=CC=C2
142,O(C1=NC=NC=2NC=C(C21)C=3C=CC=CC3)CCCC
143,N1N=C(C2=C(C(=CN=C12)C#N)C3=CC=CC=C3)C
145,C=1C(=C(C(C2=CC=CC=C2)=NC1NC(C)=O)C#N)N
146,OCCNC=1N=CC2=C(C=C(C=3C=CN=CC3)C=C2)C1
147,S(C=1N=C(NN1)C=2C=CN=CC2)CC3=CC=CC=C3
148,S(=O)(=O)(NC=1C=CC(C=2C=C3C(NN=C3N)=CC2)=CC1)C
149,O=C1NC(=O)C=2N=CC=3C(C21)=CC(OC)=C(OC)C3
150,C=1C=2N=CSC2C3=C(C(N=C3C1)=O)CC4=CN=CN4
151,ClC=1C(CC(=O)NC2=CC=3NN=CC3C=C2)=CC=CC1
152,O=C(NC1=C2C(=NC=C1)C=CC=C2)NC=3N=CC=NC3
154,C1=C(C=CC(=C1)/C=C(\C#N)/C(C(C#N)C#N)=N)O
155,FC1=CC=C(C=2N=CN(C2C=3C=CN=CC3)CCCO)C=C1
