,Knock-out Genes,Modal Similarity,The Most Similar Inhibitors,Metric,Scores,Searched Mols
1075,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1076,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1077,CTSK,0.84,FC1=CC2=C(N(C[C@@H](NC(=O)[C@@H](NC(=O)C3=CC(OC)=CC=C3)CCC4CCCCC4)[C@H](O)C)CC2)C=C1,MACCS,0.73,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1078,CTSK,0.84,N1=C(N=CC=2C=C(N(CCC3CCCCC3)C21)CSC=4C=CN=CC4)C#N,MACCS,0.57,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
1079,CTSK,0.84,N1=C(N=CC=2C=C(N(CCC3CCCCC3)C21)CSC=4C=CN=CC4)C#N,MACCS,0.57,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
1080,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1081,CTSK,0.84,FC1=CC2=C(N(C[C@@H](NC(=O)[C@@H](NC(=O)C3=CC(OC)=CC=C3)CCC4CCCCC4)[C@H](O)C)CC2)C=C1,MACCS,0.73,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1082,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1083,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1084,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1085,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1086,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
