Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.77,C1=C(C2=C(C=C1O)OC(C(C2=O)=O)C3=CC=C(C(=C3)O)O)O,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12
AKT1,Cosine Search,0.74,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCc3ccccc3-c4ccccc4C1=O
AKT1,Cosine Search,0.67,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
AKT1,Cosine Search,0.62,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CC[C@@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C2CC[C@@]1(O)C#C
AKT1,Cosine Search,0.82,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45
AKT1,Cosine Search,0.79,C12(CN(C[C@@H](CN(C3CCCCC3)S(C=4C(=NOC4C)C)(=O)=O)O)CCC1)OC=5C=CC(=CC5C(C2)=O)O,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12
AKT1,Cosine Search,0.61,P(O)(OC1CC[N+](CC1)(C)C)(=O)OCCCCCCCCCCCCCCCCCC,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
AKT1,Cosine Search,0.71,C=1C=CC=C(C(NCCCC(NC2OC(C(C(C2O)O)O)CO)=O)=O)C1,OC[C@@H]1O[C@@H](CC(=O)N2CCOCC2)C=C[C@@H]1NC(=O)NC1CCCCC1
AKT1,Cosine Search,0.6,N1=CN=C(C=2SC=CC21)NCCC=3SC(=NC3)NC(NC4=CC(=CC=C4)Cl)=O,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl
AKT1,Cosine Search,0.62,C1=CC(=CC(=C1OC)/C=C/C(C(C(/C=C/C2=CC(=CC=C2OC)OC)=O)=CC=3C=C(C(=C(C3)OC)O)Br)=O)OC,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl
