Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.66,OC=1C(C[C@]2([C@H]3[C@@](CC[C@@H]2C)(C(=CCC3)C)C)C)=CC(=CC1O)C(OC)=O,COCC1OC(=O)c2coc3c2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Euclidean Search,0.68,N=1N2C(C(=NC1SC3=CC=C(C=C3)NC(CN4C[C@H](CC4)O)=O)NC=5C=C(NN5)C)=CC=C2,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AURKB,Euclidean Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AURKB,Pre-trained hierVAE Generate,0.53,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.15,S1CC2=C(O)N3N=C(C=C3N=C2C1)C=4OC=CC4,CCCCCC1CCc2cnnn2COCC(Cc2ccccc2)NC1=O
AURKB,Pre-trained hierVAE Generate,0.67,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CN(C)CCCNC(=O)CC1C=CC(NC(=O)c2ccc(F)cc2)C(CO)O1
AURKB,Pre-trained hierVAE Generate,0.57,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)C(=O)Cc1ccccn1
AURKB,Pre-trained hierVAE Generate,0.44,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCNC(=O)N1CC(O)COCC2OC(CC(=O)NC3CCN(Cc4ccccc4)C3)CCC21
AURKB,Pre-trained hierVAE Generate,0.48,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.27,N=1C=2N(C=C(C=3C=CC(OC)=CC3)C1)N=CC2Br,COc1ccc(-c2cc3nc(C)cc(C)n3n2)cc1OC
AURKB,Pre-trained hierVAE Generate,0.28,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CCCCCCCCCCCCCCCCCC(=O)Nc1ncnc2ccccc12
AURKB,Pre-trained hierVAE Generate,0.43,C1CN(C=2C3=C(N=CN2)NC=C3)CCC1CN,CC(C)(C)c1ccc(CNc2nc(-c3cccc(F)c3)nc3ccc(C(=O)NCCCN4CCOCC4)cc23)cc1
AURKB,Pre-trained hierVAE Generate,0.37,O(C1=CC(NC2=NC(=NC=C2)N)=CC=C1)CCN,COc1ccc(CNc2ncnc3ccc(CNCCOc4ccc(C(F)(F)F)cc4)cc23)cc1OC
AURKB,Pre-trained hierVAE Generate,0.6,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)CC1CC1
AURKB,Pre-trained hierVAE Generate,0.4,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCN1C2Cn3c(ccc(-c4ccc(F)cc4)c3=O)C1C(CO)C2C(=O)NCCc1ccccc1
AURKB,Pre-trained hierVAE Generate,0.3,FC1=CC=C(C2=NC=C(C=C2)CNC=3C=CC(=CC3)C)C=C1,Cc1ccc(CNc2ncnc3ccc(-c4ccc(F)cc4)cc23)cc1
AURKB,Pre-trained hierVAE Generate,0.64,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C
AURKB,Pre-trained hierVAE Generate,0.62,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)CC1CCCCC1
AURKB,Pre-trained hierVAE Generate,0.47,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CCCNC(=O)CC1CN2C(=O)CN(C(=O)Cc3ccccc3)CC2C1c1ccc(-c2ccccc2C#N)cc1
AURKB,Pre-trained hierVAE Generate,0.41,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)NC3CCCCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.51,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AURKB,Pre-trained hierVAE Generate,0.29,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)CC1CCCCC1
AURKB,Pre-trained hierVAE Generate,0.42,C1(=CC=C(C=2C=CC=CC12)NCCN(CC)CC)O,CCCCCC(C)C(O)CNC(C)C(=O)Nc1ccc(C(C)(C)C)cc1
AURKB,Pre-trained hierVAE Generate,0.54,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CCOc1ccc(C(=O)N2CCN(CCCc3ccc(O)cc3)CC2)cc1
AURKB,Pre-trained hierVAE Generate,0.3,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)c1ccncc1
AURKB,Pre-trained hierVAE Generate,0.22,O1C2=C3C4=C(C=C(O)C(O)=C4OC(=O)C3=CC(O)=C2O)C1=O,CCCCCC(=O)OC(C(=O)COc1ccccc1C)c1ccccc1O
AURKB,Pre-trained hierVAE Generate,0.47,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2cccc(C(F)(F)F)c2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccccn3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.6,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AURKB,Pre-trained hierVAE Generate,0.34,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1
AURKB,Pre-trained hierVAE Generate,0.46,O=C1NCCC=2C3=C(NC21)C=CC(=C3)C(OCC)=O,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Cc5ccncc5)ccc4OC3C(CO)O2)cc1
AURKB,Pre-trained hierVAE Generate,0.04,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.49,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCNC(=O)CC1CC2c3cc(NC(=O)c4ccc5c(c4)OCO5)ccc3OC2C(CO)O1
AURKB,Pre-trained hierVAE Generate,0.44,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC(C)CC(=O)Nc1ccc(-c2cc(-c3ccc(CN(C)C)cc3)n(CC(O)CN3CCOCC3)n2)cc1
AURKB,Pre-trained hierVAE Generate,0.34,OCCCN1C(=C(N=C1)C2=CC=CC=C2)C=3C=CN=CC3,CC(C)(C)c1ccc(C(CNCc2ccco2)NCCCN2CCOCC2)cc1
AURKB,Pre-trained hierVAE Generate,0.51,O=C1NCCC=2C3=C(NC21)C=CC(=C3)C(OCC)=O,CCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(=O)O
AURKB,Pre-trained hierVAE Generate,0.28,OC(=O)C1CN(C1)CC2=CC=C(C=C2)C#CCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
AURKB,Pre-trained hierVAE Generate,0.64,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,Cc1ccc(C)c(C(=O)CCC(=O)Nc2ccc(C(=O)NCCCN3CCC(C(=O)c4ccccc4)CC3)cc2)c1
AURKB,Pre-trained hierVAE Generate,0.53,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,O=C(Cc1ccccn1)NC1CC(CC(=O)N2CCC(Cc3ccccc3)CC2)OC(CO)C1O
AURKB,Pre-trained hierVAE Generate,0.38,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)CC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.55,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,NCC1CCC(NC(=O)C2CC2)C(CO)O1
AURKB,Pre-trained hierVAE Generate,0.27,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)CCC(F)(F)F
AURKB,Pre-trained hierVAE Generate,0.45,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,COc1ccc(NC(=O)CCCCCCC(=O)Nc2cc(C)ccc2C)c(OC)c1
AURKB,Pre-trained hierVAE Generate,0.65,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)CC)C(C)CO2
AURKB,Pre-trained hierVAE Generate,0.35,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1
AURKB,Pre-trained hierVAE Generate,0.38,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCC(=O)Nc1ccc2c(c1)OCC(C)N(C(=O)c1ccccn1)CC(C)C(OC)CN(C)C2=O
AURKB,Pre-trained hierVAE Generate,0.44,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)C(=O)NC2CCCCC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.61,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCNC(=O)CC1CCC2C(COCC(O)CN2Cc2ccc(F)cc2)O1
AURKB,Pre-trained hierVAE Generate,0.68,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,COc1ccc(CNC(=O)CC2CCC3C(COCC(O)CN3C(=O)Nc3ccccc3F)O2)cc1
AURKB,Pre-trained hierVAE Generate,0.21,O(C=1C=C(C=NC1)CCC2=CC=CC=C2)CC3N(CCC3)C,CCCCCC(=O)N1CCC(Cc2ccc(OC)cc2)C(C)(C)C1
AURKB,Pre-trained hierVAE Generate,0.47,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccncc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.64,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCNC(=O)NC1CCC(CC(=O)N2CCC(Cc3ccccc3)CC2)OC1CO
AURKB,Pre-trained hierVAE Generate,0,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CCCN(C)CC1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N(C(C)CO)CC1C
AURKB,Pre-trained hierVAE Generate,0.06,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1
AURKB,Pre-trained hierVAE Generate,0.48,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.46,C1=NC=C(C)C2=C1C=CC=C2S(N3C(CNCCC3)C)(=O)=O,CC(C)NC(=O)N(C)CC1Oc2cc(C3=CCCCC3)ccc2S(=O)(=O)N(C(C)CO)CC1C
AURKB,Pre-trained hierVAE Generate,0.35,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCC(=O)Nc1ccc2c(c1)C1CC(CC(=O)N3CCCCC3)OC(CO)C1O2
AURKB,Pre-trained hierVAE Generate,0.66,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1
AURKB,Pre-trained hierVAE Generate,0.52,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AURKB,Pre-trained hierVAE Generate,0.52,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)CCCN(C)C)c2OC1CN(C)Cc1ccc(C(=O)O)cc1
AURKB,Pre-trained hierVAE Generate,0.49,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCCCCCCCCCCCCCCCC(O)C(O)C(O)CO
AURKB,Pre-trained hierVAE Generate,0.46,C=1C=C2NC(=O)C(=C(C2=CC1Cl)C=3C=CC=CC3)N,CC(C)(C)c1ccc(C(=O)NC(C(=O)Nc2ccc(C(=O)Nc3ccccc3C(F)(F)F)cc2)C(C)(C)C)cc1
AURKB,Pre-trained hierVAE Generate,0.03,IC1=NN(C2OC(C(O)C2O)CO)C=3N=CN=C(N)C31,COc1ccc(NC(=O)NC2CCC(CCn3cc(-c4cccc(F)c4)nn3)OC2CO)cc1
AURKB,Pre-trained hierVAE Generate,0.43,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCNC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccccc2F)O1
AURKB,Pre-trained hierVAE Generate,0.77,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.65,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccccn2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.44,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C
AURKB,Pre-trained hierVAE Generate,0.52,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C
AURKB,Pre-trained hierVAE Generate,0.53,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCNC(=O)CC1C=CC(NC(=O)Cc2ccccc2)C(CO)O1
AURKB,Pre-trained hierVAE Generate,0.44,O(C1=NC(N2CCOCC2)=CC(=N1)NN)CCC3=NC=CC=C3,COc1ccc(-c2nnc(-c3ccc(CN4CCCC4)cc3)n2-c2ccc(C(=O)NCCCN3CCOCC3)cc2)cc1
AURKB,Pre-trained hierVAE Generate,0.2,ClC=1C=2C(SC1)=NC=NC2NC=3C=CC=CC3,Clc1ccc(CNc2ncnc3scc(-c4ccc(Cl)cc4)c23)cc1
AURKB,Pre-trained hierVAE Generate,0.56,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC(C)(C)C1CC(C(=O)NCCCN2CCN(Cc3ccc(F)cc3)CC2)N(CCCC(=O)Nc2ccc(C(F)(F)F)cc2)C1
AURKB,Pre-trained hierVAE Generate,0.46,C=1(OC=2C3=C(C=CC=C3)C=CC2C(C1)=O)N4CCOCC4,O=C(CC1CCC2C(COCC(O)CN2C(=O)c2ccc(F)cc2)O1)NCc1ccc(F)cc1
AURKB,Pre-trained hierVAE Generate,0.48,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2
AURKB,Pre-trained hierVAE Generate,0.72,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)C(=O)Nc1ccc(F)cc1
AURKB,Pre-trained hierVAE Generate,0.54,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,COc1ccccc1CNC(=O)CC1CCC(NC(=O)CN2CCOCC2)C(CO)O1
AURKB,Pre-trained hierVAE Generate,0.52,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,Cc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc2ccc(C(=O)O)cc2)O3)cc1
AURKB,Pre-trained hierVAE Generate,0.53,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(=O)O)cc1)O2
AURKB,Pre-trained hierVAE Generate,0.48,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)c3ccccn3)ccc2OCC1C
AURKB,Pre-trained hierVAE Generate,0.62,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CCCNC(=O)CC1CCC2C(COCC(O)CN2C(=O)c2ccccc2F)O1
AURKB,Pre-trained hierVAE Generate,0.32,O=C1NC2=C(C1=CC=3NC=NC3)C=C(OC)C=C2,COc1ccccc1C=CC(=O)Nc1ccccc1C
AURKB,Pre-trained hierVAE Generate,0.33,C1=NC=C(C)C2=C1C=CC=C2S(N3C(CNCCC3)C)(=O)=O,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.35,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,COc1ccc2c3c(n(C)c2c1)C(CO)N(Cc1ccccc1Cl)C(=O)C3
AURKB,Pre-trained hierVAE Generate,0.6,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AURKB,Pre-trained hierVAE Generate,0.28,C1=NC=C(C)C2=C1C=CC=C2S(N3C(CNCCC3)C)(=O)=O,COc1ccc(C#Cc2ccc3c(c2)OC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)S3(=O)=O)cc1
AURKB,Pre-trained hierVAE Generate,0.29,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)CC1CCOCC1
AURKB,Pre-trained hierVAE Generate,0.52,O=C(N1CCNCC1)C2=C(O)C=C(NC(=O)CC)C=C2,CN(C)c1ccc2c(c1)C1CC(CC(=O)NCCN3CCCCC3)OC(CO)C1O2
